zip,primary_city,acceptable_cities,state,county,latitude,longitude,estimated_population,notes
90001,Los Angeles,"Firestone Park, Firestone Pk",CA,Los Angeles County,33.97,-118.24,36200,
90002,Los Angeles,"August F. Haw, Watts",CA,Los Angeles County,33.94,-118.24,30920,
90003,Los Angeles,,CA,Los Angeles County,33.96,-118.27,41878,
90004,Los Angeles,Oakwood,CA,Los Angeles County,34.07,-118.31,41632,
90005,Los Angeles,Sanford,CA,Los Angeles County,34.05,-118.31,22281,
90006,Los Angeles,,CA,Los Angeles County,34.04,-118.29,34995,
90007,Los Angeles,Dockweiler,CA,Los Angeles County,34.02,-118.28,20179,
90008,Los Angeles,"Baldwin Hills, Leimert Park",CA,Los Angeles County,34,-118.34,21174,
90009,Los Angeles,"Los Angeles Afb, Los Angls Afb",CA,Los Angeles County,33.94,-118.38,1715,
90010,Los Angeles,,CA,Los Angeles County,34.06,-118.31,3294,
90011,Los Angeles,,CA,Los Angeles County,34,-118.25,63123,
90012,Los Angeles,,CA,Los Angeles County,34.06,-118.24,13839,
90013,Los Angeles,,CA,Los Angeles County,34.04,-118.24,3973,
90014,Los Angeles,,CA,Los Angeles County,34.04,-118.25,3272,
90015,Los Angeles,,CA,Los Angeles County,34.03,-118.26,10390,
90016,Los Angeles,,CA,Los Angeles County,34.02,-118.35,34391,
90017,Los Angeles,,CA,Los Angeles County,34.05,-118.26,11309,
90018,Los Angeles,,CA,Los Angeles County,34.02,-118.31,33029,
90019,Los Angeles,,CA,Los Angeles County,34.04,-118.34,43752,
90020,Los Angeles,,CA,Los Angeles County,34.06,-118.31,25029,
90021,Los Angeles,,CA,Los Angeles County,34.03,-118.24,1621,
90022,Los Angeles,"Commerce, East Los Angeles, Est Ls Angls",CA,Los Angeles County,34.02,-118.15,46198,
90023,Los Angeles,Commerce,CA,Los Angeles County,34.01,-118.2,30786,
90024,Los Angeles,,CA,Los Angeles County,34.06,-118.43,22009,
90025,Los Angeles,"W Los Angeles, West Los Angeles",CA,Los Angeles County,34.04,-118.44,34463,
90026,Los Angeles,,CA,Los Angeles County,34.07,-118.26,46916,
90027,Los Angeles,,CA,Los Angeles County,34.12,-118.28,33916,
90028,Los Angeles,Hollywood,CA,Los Angeles County,34.1,-118.32,18687,
90029,Los Angeles,,CA,Los Angeles County,34.09,-118.29,26270,
90030,Los Angeles,,CA,Los Angeles County,34.06,-118.23,0,
90031,Los Angeles,"Lincoln Heights, Lincoln Hts",CA,Los Angeles County,34.08,-118.2,26797,
90032,Los Angeles,,CA,Los Angeles County,34.08,-118.17,32538,
90033,Los Angeles,,CA,Los Angeles County,34.04,-118.21,28923,
90034,Los Angeles,,CA,Los Angeles County,34.02,-118.39,42620,
90035,Los Angeles,,CA,Los Angeles County,34.05,-118.38,20647,
90036,Los Angeles,,CA,Los Angeles County,34.06,-118.35,26227,
90037,Los Angeles,,CA,Los Angeles County,34,-118.28,37811,
90038,Los Angeles,"W Hollywood, West Hollywood",CA,Los Angeles County,34.08,-118.32,18877,
90039,Los Angeles,,CA,Los Angeles County,34.11,-118.26,22944,
90040,Los Angeles,"Commerce, Cty Of Cmmrce",CA,Los Angeles County,33.99,-118.14,9350,
90041,Los Angeles,Eagle Rock,CA,Los Angeles County,34.13,-118.2,20920,
90042,Los Angeles,Highland Park,CA,Los Angeles County,34.11,-118.19,43949,
90043,Los Angeles,"View Park, Windsor Hills",CA,Los Angeles County,33.98,-118.33,32064,
90044,Los Angeles,August F. Haw,CA,Los Angeles County,33.95,-118.29,56462,
90045,Los Angeles,Westchester,CA,Los Angeles County,33.95,-118.4,29336,
90046,Los Angeles,"W Hollywood, West Hollywood",CA,Los Angeles County,34.1,-118.37,34474,
90047,Los Angeles,,CA,Los Angeles County,33.95,-118.3,36265,
90048,Los Angeles,"W Hollywood, West Hollywood",CA,Los Angeles County,34.07,-118.37,17194,
90049,Los Angeles,,CA,Los Angeles County,34.08,-118.49,29275,
90050,Los Angeles,,CA,Los Angeles County,34.12,-118.2,407,
90051,Los Angeles,August F. Haw,CA,Los Angeles County,34.06,-118.24,609,
90052,Los Angeles,,CA,Los Angeles County,33.97,-118.25,0,
90053,Los Angeles,,CA,Los Angeles County,34.05,-118.23,0,
90054,Los Angeles,,CA,Los Angeles County,34.06,-118.23,0,
90055,Los Angeles,,CA,Los Angeles County,34.04,-118.25,0,
90056,Los Angeles,"Baldwin Hills, Windsor Hills",CA,Los Angeles County,33.98,-118.37,7060,
90057,Los Angeles,,CA,Los Angeles County,34.06,-118.27,21531,
90058,Los Angeles,Vernon,CA,Los Angeles County,34,-118.21,2407,
90059,Los Angeles,August F. Haw,CA,Los Angeles County,33.92,-118.24,25507,
90060,Los Angeles,,CA,Los Angeles County,33.99,-118.42,0,
90061,Los Angeles,August F. Haw,CA,Los Angeles County,33.92,-118.27,18477,
90062,Los Angeles,,CA,Los Angeles County,34,-118.3,22057,
90063,Los Angeles,Hazard,CA,Los Angeles County,34.04,-118.18,35693,
90064,Los Angeles,Rancho Park,CA,Los Angeles County,34.03,-118.43,22483,
90065,Los Angeles,"Glassell, Glassell Park",CA,Los Angeles County,34.1,-118.22,34536,
90066,Los Angeles,,CA,Los Angeles County,34,-118.43,43203,
90067,Los Angeles,Century City,CA,Los Angeles County,34.05,-118.41,5575,
90068,Los Angeles,Hollywood,CA,Los Angeles County,34.13,-118.33,15853,
90069,West Hollywood,"Los Angeles, W Hollywood",CA,Los Angeles County,34.09,-118.38,17126,
90070,Los Angeles,,CA,Los Angeles County,34.06,-118.31,0,
90071,Los Angeles,,CA,Los Angeles County,34.05,-118.25,964,
90072,Los Angeles,,CA,Los Angeles County,34.09,-118.3,0,
90073,Los Angeles,"Veterans Adm, Veterans Admin, Veterans Administration, Veterans Admn",CA,Los Angeles County,34.05,-118.45,0,
90074,Los Angeles,,CA,Los Angeles County,34.05,-118.26,0,
90075,Los Angeles,,CA,Los Angeles County,34.06,-118.31,0,
90076,Los Angeles,,CA,Los Angeles County,34.06,-118.31,393,
90077,Los Angeles,,CA,Los Angeles County,34.1,-118.45,7412,
90078,Los Angeles,Hollywood,CA,Los Angeles County,34.1,-118.32,1047,
90079,Los Angeles,,CA,Los Angeles County,34.04,-118.25,0,
90080,Los Angeles,,CA,Los Angeles County,33.95,-118.39,0,
90081,Los Angeles,,CA,Los Angeles County,34.05,-118.26,1017,
90082,Los Angeles,,CA,Los Angeles County,34,-118.27,0,
90083,Los Angeles,,CA,Los Angeles County,33.95,-118.39,0,
90084,Los Angeles,,CA,Los Angeles County,34.05,-118.26,0,
90086,Los Angeles,,CA,Los Angeles County,34.06,-118.23,550,
90087,Los Angeles,,CA,Los Angeles County,34.06,-118.23,0,
90088,Los Angeles,,CA,Los Angeles County,34.05,-118.26,0,
90089,Los Angeles,,CA,Los Angeles County,34.01,-118.28,0,
90090,Dodgertown,Los Angeles,CA,Los Angeles County,34.07,-118.24,0,"no NWS data, "
90091,Los Angeles,"Commerce, Cty Of Cmmrce",CA,Los Angeles County,33.99,-118.15,0,
90093,Los Angeles,,CA,Los Angeles County,34.09,-118.33,439,
90094,Playa Vista,Los Angeles,CA,Los Angeles County,33.97,-118.43,3903,
90095,Los Angeles,Ucla,CA,Los Angeles County,34.07,-118.44,0,
90096,Los Angeles,,CA,Los Angeles County,33.96,-118.17,0,
90099,Los Angeles,,CA,Los Angeles County,34.06,-118.23,0,
90101,Los Angeles,,CA,Los Angeles County,33.99,-118.16,0,
90102,Los Angeles,Brylane,CA,Los Angeles County,34.01,-118.19,0,Converted Decommisioned Zipcodes
90103,Los Angeles,,CA,Los Angeles County,33.99,-118.16,0,
90189,Los Angeles,,CA,Los Angeles County,34.06,-118.25,0,"no NWS data, "
90201,Bell Gardens,"Bell, Cudahy",CA,Los Angeles County,33.97,-118.15,67468,
90202,Bell,Bell Gardens,CA,Los Angeles County,33.96,-118.15,648,
90209,Beverly Hills,,CA,Los Angeles County,34.07,-118.39,810,
90210,Beverly Hills,,CA,Los Angeles County,34.09,-118.41,16984,
90211,Beverly Hills,,CA,Los Angeles County,34.06,-118.38,8596,
90212,Beverly Hills,,CA,Los Angeles County,34.06,-118.4,12548,
90213,Beverly Hills,,CA,Los Angeles County,34.05,-118.4,902,
90220,Compton,"Crystal City, Rancho Dominguez, Rncho Domingz",CA,Los Angeles County,33.87,-118.24,34287,
90221,Compton,"E Rncho Dmngz, East Rancho Dominguez",CA,Los Angeles County,33.87,-118.21,36005,
90222,Compton,Rosewood,CA,Los Angeles County,33.91,-118.23,20801,
90223,Compton,,CA,Los Angeles County,33.89,-118.22,0,
90224,Compton,"Rancho Dominguez, Rncho Domingz",CA,Los Angeles County,33.87,-118.26,977,
90230,Culver City,Los Angeles,CA,Los Angeles County,33.99,-118.39,25528,
90231,Culver City,,CA,Los Angeles County,33.99,-118.39,877,
90232,Culver City,,CA,Los Angeles County,34.02,-118.39,13073,
90233,Culver City,,CA,Los Angeles County,33.98,-118.38,0,
90239,Downey,,CA,Los Angeles County,33.93,-118.11,697,
90240,Downey,,CA,Los Angeles County,33.95,-118.12,19687,
90241,Downey,,CA,Los Angeles County,33.94,-118.13,32425,
90242,Downey,,CA,Los Angeles County,33.92,-118.14,31123,
90245,El Segundo,,CA,Los Angeles County,33.91,-118.4,15421,
90247,Gardena,,CA,Los Angeles County,33.89,-118.29,35920,
90248,Gardena,,CA,Los Angeles County,33.88,-118.27,8825,
90249,Gardena,,CA,Los Angeles County,33.89,-118.31,21361,
90250,Hawthorne,"Holly Park, Hollyglen",CA,Los Angeles County,33.91,-118.34,68109,
90251,Hawthorne,,CA,Los Angeles County,33.91,-118.36,1320,
90254,Hermosa Beach,,CA,Los Angeles County,33.86,-118.39,16137,
90255,Huntington Park,"Huntington Pk, Walnut Park",CA,Los Angeles County,33.97,-118.21,54716,
90260,Lawndale,,CA,Los Angeles County,33.88,-118.35,25618,
90261,Lawndale,,CA,Los Angeles County,33.89,-118.37,0,
90262,Lynwood,,CA,Los Angeles County,33.92,-118.2,47895,
90263,Malibu,,CA,Los Angeles County,34.03,-118.7,0,
90264,Malibu,,CA,Los Angeles County,34.04,-118.77,497,
90265,Malibu,,CA,Los Angeles County,34.06,-118.81,12992,
90266,Manhattan Beach,Manhattan Bch,CA,Los Angeles County,33.88,-118.4,30505,
90267,Manhattan Beach,Manhattan Bch,CA,Los Angeles County,33.87,-118.39,876,
90270,Maywood,Bell Gardens,CA,Los Angeles County,33.98,-118.18,19023,
90272,Pacific Palisades,Pacific Plsds,CA,Los Angeles County,34.07,-118.54,19526,
90274,Palos Verdes Peninsula,"Palos Verdes Estates, Pls Vrds Est, Pls Vrds Pnsl, Rllng Hls Est, Rolling Hills, Rolling Hills Estates",CA,Los Angeles County,33.77,-118.34,24008,
90275,Rancho Palos Verdes,"Palos Verdes Estates, Palos Verdes Peninsula, Pls Vrds Est, Pls Vrds Pnsl, Rch Palos Vrd, Rllng Hls Est, Rolling Hills Estates",CA,Los Angeles County,33.75,-118.31,35895,
90277,Redondo Beach,,CA,Los Angeles County,33.83,-118.38,30038,
90278,Redondo Beach,,CA,Los Angeles County,33.87,-118.37,33427,
90280,South Gate,,CA,Los Angeles County,33.94,-118.2,70212,
90290,Topanga,,CA,Los Angeles County,34.1,-118.6,5072,
90291,Venice,Playa Del Rey,CA,Los Angeles County,33.99,-118.46,20638,
90292,Marina Del Rey,"Marina Dl Rey, Venice",CA,Los Angeles County,33.97,-118.43,16888,
90293,Playa Del Rey,Venice,CA,Los Angeles County,33.94,-118.44,9536,
90294,Venice,,CA,Los Angeles County,33.98,-118.47,681,
90295,Marina Del Rey,"Marina Dl Rey, Venice",CA,Los Angeles County,33.97,-118.43,1166,
90296,Playa Del Rey,Venice,CA,Los Angeles County,33.95,-118.44,0,
90301,Inglewood,,CA,Los Angeles County,33.95,-118.36,25753,
90302,Inglewood,,CA,Los Angeles County,33.97,-118.35,20745,
90303,Inglewood,,CA,Los Angeles County,33.93,-118.33,18370,
90304,Inglewood,Lennox,CA,Los Angeles County,33.93,-118.36,20300,
90305,Inglewood,,CA,Los Angeles County,33.95,-118.33,12037,
90306,Inglewood,,CA,Los Angeles County,33.95,-118.35,0,
90307,Inglewood,,CA,Los Angeles County,33.95,-118.37,0,
90308,Inglewood,,CA,Los Angeles County,33.95,-118.35,423,
90309,Inglewood,,CA,Los Angeles County,33.97,-118.35,0,
90310,Inglewood,,CA,Los Angeles County,33.93,-118.32,0,
90311,Inglewood,,CA,Los Angeles County,33.95,-118.35,0,
90312,Inglewood,,CA,Los Angeles County,33.96,-118.35,0,
90313,Inglewood,General Telephone,CA,Los Angeles County,33.96,-118.35,0,Converted Decommisioned Zipcodes
90397,Inglewood,Shared Firm Zip Code,CA,Los Angeles County,33.96,-118.35,0,Converted Decommisioned Zipcodes
90398,Inglewood,,CA,Los Angeles County,33.96,-118.35,0,Converted Decommisioned Zipcodes
90401,Santa Monica,,CA,Los Angeles County,34.01,-118.49,4953,
90402,Santa Monica,,CA,Los Angeles County,34.03,-118.5,9702,
90403,Santa Monica,,CA,Los Angeles County,34.03,-118.49,20118,
90404,Santa Monica,,CA,Los Angeles County,34.02,-118.47,16220,
90405,Santa Monica,,CA,Los Angeles County,34.01,-118.46,22070,
90406,Santa Monica,,CA,Los Angeles County,34.01,-118.49,1108,
90407,Santa Monica,,CA,Los Angeles County,34.01,-118.49,0,
90408,Santa Monica,,CA,Los Angeles County,34.02,-118.48,0,
90409,Santa Monica,,CA,Los Angeles County,34,-118.48,0,
90410,Santa Monica,,CA,Los Angeles County,34.01,-118.46,0,
90411,Santa Monica,,CA,Los Angeles County,34.01,-118.46,509,
90501,Torrance,,CA,Los Angeles County,33.83,-118.31,33170,
90502,Torrance,,CA,Los Angeles County,33.83,-118.29,14193,
90503,Torrance,,CA,Los Angeles County,33.84,-118.35,36775,
90504,Torrance,,CA,Los Angeles County,33.86,-118.33,27310,
90505,Torrance,,CA,Los Angeles County,33.8,-118.35,31058,
90506,Torrance,,CA,Los Angeles County,33.88,-118.33,0,
90507,Torrance,,CA,Los Angeles County,33.83,-118.31,0,
90508,Torrance,,CA,Los Angeles County,33.83,-118.31,0,
90509,Torrance,,CA,Los Angeles County,33.84,-118.32,0,
90510,Torrance,,CA,Los Angeles County,33.82,-118.32,784,
90601,Whittier,"City Industry, City Of Industry, Pico Rivera",CA,Los Angeles County,34,-118.03,24177,
90602,Whittier,,CA,Los Angeles County,33.97,-118.01,17609,
90603,Whittier,,CA,Los Angeles County,33.94,-117.99,16292,
90604,Whittier,,CA,Los Angeles County,33.93,-118,29676,
90605,Whittier,,CA,Los Angeles County,33.94,-118.03,30900,
90606,Whittier,Los Nietos,CA,Los Angeles County,33.98,-118.06,24569,
90607,Whittier,,CA,Los Angeles County,33.96,-118.02,583,
90608,Whittier,,CA,Los Angeles County,33.97,-118.02,579,
90609,Whittier,,CA,Los Angeles County,33.97,-118.03,0,
90610,Whittier,Los Nietos,CA,Los Angeles County,33.96,-118.07,0,
90612,Whittier,,CA,Los Angeles County,33.96,-118.02,0,Converted Decommisioned Zipcodes
90620,Buena Park,,CA,Orange County,33.84,-118,36788,
90621,Buena Park,,CA,Orange County,33.87,-117.99,26086,
90622,Buena Park,,CA,Orange County,33.84,-118,587,
90623,La Palma,Buena Park,CA,Orange County,33.85,-118.04,13178,
90624,Buena Park,,CA,Orange County,33.85,-118,0,
90630,Cypress,,CA,Orange County,33.81,-118.03,41132,
90631,La Habra,"La Habra Heights, La Habra Hgts",CA,Orange County,33.94,-117.95,52341,
90632,La Habra,,CA,Orange County,33.91,-117.95,673,
90633,La Habra,,CA,Orange County,33.93,-117.94,508,
90637,La Mirada,,CA,Los Angeles County,33.89,-118,777,
90638,La Mirada,"Lamirada, Mirada",CA,Los Angeles County,33.9,-118,37827,
90639,La Mirada,,CA,Los Angeles County,33.9,-118.01,0,
90640,Montebello,,CA,Los Angeles County,34,-118.1,46577,
90650,Norwalk,,CA,Los Angeles County,33.9,-118.07,78458,
90651,Norwalk,,CA,Los Angeles County,33.9,-118.07,1002,
90652,Norwalk,,CA,Los Angeles County,33.91,-118.07,0,
90659,Norwalk,,CA,Los Angeles County,33.9,-118.07,0,Converted Decommisioned Zipcodes
90660,Pico Rivera,,CA,Los Angeles County,33.98,-118.08,48568,
90661,Pico Rivera,,CA,Los Angeles County,34,-118.08,0,
90662,Pico Rivera,,CA,Los Angeles County,33.96,-118.09,0,
90670,Santa Fe Springs,Santa Fe Spgs,CA,Los Angeles County,33.92,-118.06,12163,
90671,Santa Fe Springs,Santa Fe Spgs,CA,Los Angeles County,33.93,-118.06,0,
90680,Stanton,,CA,Orange County,33.79,-117.99,23093,
90701,Artesia,Cerritos,CA,Los Angeles County,33.86,-118.08,12730,
90702,Artesia,,CA,Los Angeles County,33.86,-118.08,540,
90703,Cerritos,Artesia,CA,Los Angeles County,33.86,-118.05,44208,
90704,Avalon,,CA,Los Angeles County,33.38,-118.45,3096,
90706,Bellflower,,CA,Los Angeles County,33.88,-118.13,54431,
90707,Bellflower,,CA,Los Angeles County,33.88,-118.12,1256,
90710,Harbor City,,CA,Los Angeles County,33.79,-118.29,19537,
90711,Lakewood,,CA,Los Angeles County,33.84,-118.14,543,
90712,Lakewood,,CA,Los Angeles County,33.84,-118.14,25989,
90713,Lakewood,,CA,Los Angeles County,33.85,-118.11,23966,
90714,Lakewood,,CA,Los Angeles County,33.85,-118.13,739,
90715,Lakewood,,CA,Los Angeles County,33.84,-118.07,15741,
